Product ID,Product Name,Category,Stock Quantity,Daily Sales Avg,Purchase Price (OMR),Selling Price (OMR),Expiry Date,Status
1000,لبن طازج 1 لتر (Fresh Yogurt 1L) - THE ANOMALY,Dairy,5000,50,1.200,1.800,2026-08-27,Critical Overstock
1001,Organic Salmon 4x,Meat,260,22,1.350,2.397,2026-09-11,Normal
1002,Premium Popcorn 4x,Snacks,249,40,9.591,16.304,2028-04-13,Normal
1003,Fresh Sugar 1x,Grocery,474,42,3.205,4.410,2027-10-03,Normal
1004,Premium Cola 2x,Beverages,142,33,7.422,12.371,2027-02-02,Normal
1005,Organic Sausages 2x,Meat,178,36,9.638,12.402,2026-09-04,Normal
1006,Fresh Salmon 4x,Meat,489,5,2.172,3.623,2026-09-23,Normal
1007,Diet Cookies 3x,Snacks,129,47,8.125,14.175,2027-03-03,Normal
1008,Diet Water 2x,Beverages,44,23,4.703,8.154,2027-05-07,Low Stock
1009,Fresh Cola 4x,Beverages,411,47,8.751,11.083,2027-12-24,Normal
1010,Standard Chicken Breast 3x,Meat,276,27,5.438,7.551,2026-09-05,Normal
1011,Local Pasta 5x,Grocery,387,42,7.742,12.034,2028-05-18,Normal
1012,Gluten-Free Bleach 3x,Cleaning,33,32,1.012,1.242,2026-12-10,Low Stock
1013,Premium Bagel 2x,Bakery,475,21,8.010,14.097,2026-09-05,Normal
1014,Local Tea 4x,Beverages,420,26,4.831,7.154,2027-07-28,Normal
1015,Fresh Sponges 5x,Cleaning,156,17,0.709,1.046,2028-01-25,Normal
1016,Local Chicken Breast 5x,Meat,136,16,8.968,15.107,2026-09-07,Normal
1017,Local Chicken Nuggets 5x,Frozen,53,42,8.869,12.950,2028-07-05,Low Stock
1018,Imported Butter 4x,Dairy,163,25,4.264,6.057,2026-09-15,Normal
1019,Organic Toothpaste 4x,Personal Care,206,16,8.073,14.218,2026-12-27,Normal
1020,Diet Bleach 2x,Cleaning,474,1,2.949,4.555,2028-02-22,Normal
1021,Fresh Tomatoes 3x,Produce,166,11,7.782,12.013,2026-09-12,Normal
1022,Gluten-Free Pizza 2x,Frozen,248,18,1.838,3.038,2028-04-29,Normal
1023,Premium Bagel 5x,Bakery,398,33,3.942,6.170,2026-09-15,Normal
1024,Diet Butter 3x,Dairy,39,38,3.730,4.548,2026-09-21,Low Stock
1025,Diet Dish Soap 1x,Cleaning,196,14,3.410,5.781,2028-02-01,Normal
1026,Premium Muffins 1x,Bakery,200,17,6.640,8.248,2026-08-31,Normal
1027,Premium Lamb Chops 4x,Meat,397,10,8.014,10.595,2026-09-23,Normal
1028,Organic Sausages 3x,Meat,171,33,1.709,2.944,2026-09-22,Normal
1029,Organic Cola 1x,Beverages,10,23,1.279,1.623,2028-04-18,Low Stock
1030,Imported Apples 1x,Produce,58,22,2.835,4.495,2026-09-16,Normal
1031,Diet Tomatoes 3x,Produce,183,20,2.089,3.489,2026-09-12,Normal
1032,Standard Butter 2x,Dairy,427,2,8.479,13.051,2026-09-15,Normal
1033,Fresh Flour 2x,Grocery,181,40,6.235,8.062,2027-01-12,Normal
1034,Diet Water 5x,Beverages,100,39,5.318,9.174,2027-05-21,Normal
1035,Imported Ice Cream 3x,Frozen,169,35,7.543,10.366,2028-02-07,Normal
1036,Imported Sponges 2x,Cleaning,194,48,8.420,10.684,2028-02-06,Normal
1037,Diet Bananas 1x,Produce,230,21,4.910,8.142,2026-09-14,Normal
1038,Standard Toothpaste 1x,Personal Care,218,42,8.479,13.439,2028-02-24,Normal
1039,Gluten-Free Potatoes 2x,Produce,470,45,5.062,8.461,2026-09-04,Normal
1040,Fresh Sausages 4x,Meat,129,4,8.236,13.684,2026-09-18,Normal
1041,Premium Flour 5x,Grocery,106,46,7.310,9.469,2027-04-20,Normal
1042,Organic Pasta 3x,Grocery,421,4,2.860,5.049,2028-03-21,Normal
1043,Diet Soap 4x,Personal Care,313,34,4.707,6.894,2028-03-06,Normal
1044,Local Tomatoes 3x,Produce,481,13,4.203,5.911,2026-09-12,Normal
1045,Imported Bagel 5x,Bakery,338,8,9.827,15.724,2026-09-19,Normal
1046,Gluten-Free Toothpaste 5x,Personal Care,451,34,2.978,3.693,2027-06-08,Normal
1047,Standard Tomatoes 1x,Produce,185,24,2.301,2.872,2026-08-29,Near Expiry - Overstock
1048,Gluten-Free Croissant 1x,Bakery,78,9,1.993,3.386,2026-09-09,Normal
1049,Gluten-Free Soap 4x,Personal Care,212,14,6.691,11.568,2027-08-05,Normal
1050,Diet Coffee 2x,Beverages,27,26,2.836,3.770,2028-05-15,Low Stock
1051,Local Popcorn 1x,Snacks,352,43,7.191,10.969,2028-07-07,Normal
1052,Diet Toothpaste 2x,Personal Care,496,3,7.797,11.646,2028-06-24,Normal
1053,Gluten-Free Lamb Chops 4x,Meat,376,49,5.675,7.312,2026-08-29,Near Expiry - Overstock
1054,Organic Cake 1x,Bakery,261,20,1.760,3.105,2026-09-21,Normal
1055,Standard Sponges 2x,Cleaning,434,23,4.694,8.378,2028-03-17,Normal
1056,Fresh Ice Cream 1x,Frozen,105,22,3.579,5.714,2028-07-01,Normal
1057,Standard Rice 4x,Grocery,490,18,5.861,10.146,2027-02-08,Normal
1058,Local Cookies 1x,Snacks,66,34,5.832,9.956,2028-01-20,Low Stock
1059,Gluten-Free Coffee 4x,Beverages,127,14,1.910,2.624,2027-05-20,Normal
1060,Imported Pasta 1x,Grocery,87,17,8.832,14.614,2028-03-02,Normal
1061,Organic Muffins 1x,Bakery,289,32,3.886,4.737,2026-09-08,Normal
1062,Imported Nuts 5x,Snacks,95,40,1.314,1.765,2027-09-28,Normal
1063,Local Nuts 4x,Snacks,168,14,1.780,2.391,2027-02-19,Normal
1064,Standard Pizza 3x,Frozen,80,16,5.505,9.309,2028-06-07,Normal
1065,Organic Deodorant 4x,Personal Care,205,40,3.874,4.829,2028-03-10,Normal
1066,Standard Cookies 4x,Snacks,93,28,6.311,7.885,2027-10-15,Normal
1067,Premium Nuts 4x,Snacks,472,20,9.088,13.070,2027-04-22,Normal
1068,Organic Ice Cream 5x,Frozen,337,18,2.321,3.024,2028-03-16,Normal
1069,Organic Tea 2x,Beverages,32,37,5.498,9.044,2028-05-21,Low Stock
1070,Fresh Coffee 4x,Beverages,443,14,8.130,12.739,2027-10-07,Normal
1071,Diet Dish Soap 3x,Cleaning,469,17,8.772,11.704,2027-04-22,Normal
1072,Local Croissant 1x,Bakery,107,10,3.856,5.147,2026-09-09,Normal
1073,Diet Coffee 1x,Beverages,364,20,2.685,3.449,2026-12-03,Normal
1074,Organic Chicken Nuggets 1x,Frozen,234,48,7.727,13.336,2028-01-04,Normal
1075,Imported Sugar 3x,Grocery,232,45,6.863,10.356,2027-04-27,Normal
1076,Fresh Cake 2x,Bakery,485,18,5.300,7.876,2026-09-06,Normal
1077,Premium Cola 3x,Beverages,307,31,1.112,1.930,2027-06-11,Normal
1078,Local Ice Cream 5x,Frozen,31,37,6.134,9.693,2027-11-06,Low Stock
1079,Gluten-Free Water 4x,Beverages,99,3,0.905,1.221,2026-12-24,Normal
1080,Gluten-Free Bagel 5x,Bakery,499,4,9.033,14.761,2026-09-21,Normal
1081,Imported Bread 1x,Bakery,482,36,0.724,0.941,2026-09-10,Normal
1082,Premium Popcorn 4x,Snacks,265,34,8.821,14.571,2028-07-01,Normal
1083,Fresh Toothpaste 5x,Personal Care,310,7,2.888,3.858,2027-11-17,Normal
1084,Diet Potatoes 3x,Produce,442,24,3.015,4.828,2026-09-12,Normal
1085,Imported Detergent 3x,Cleaning,246,16,2.712,4.765,2027-10-06,Normal
1086,Premium Olive Oil 1x,Grocery,425,44,3.100,3.963,2027-12-15,Normal
1087,Standard Croissant 5x,Bakery,458,29,8.526,13.926,2026-09-20,Normal
1088,Organic Toothpaste 1x,Personal Care,316,18,4.928,7.804,2028-03-05,Normal
1089,Fresh Lamb Chops 5x,Meat,121,12,5.254,7.777,2026-09-11,Normal
1090,Premium Shampoo 1x,Personal Care,331,8,3.767,6.518,2027-05-23,Normal
1091,Organic Deodorant 4x,Personal Care,128,35,9.361,11.974,2028-07-11,Normal
1092,Premium Water 4x,Beverages,16,3,5.100,7.922,2027-07-28,Normal
1093,Imported Water 4x,Beverages,53,46,3.653,5.436,2027-12-11,Low Stock
1094,Organic Muffins 3x,Bakery,185,28,9.693,16.673,2026-09-14,Normal
1095,Standard Toothpaste 2x,Personal Care,202,26,7.696,13.639,2026-12-03,Normal
1096,Fresh Water 2x,Beverages,499,7,2.750,3.539,2028-04-07,Normal
1097,Gluten-Free Yogurt 1x,Dairy,134,43,4.221,6.170,2026-09-16,Normal
1098,Fresh Deodorant 5x,Personal Care,286,23,9.348,13.313,2027-09-29,Normal
1099,Diet Pasta 4x,Grocery,120,17,2.636,3.960,2027-04-11,Normal
1100,Local Popcorn 2x,Snacks,401,17,6.644,9.077,2027-07-12,Normal
1101,Organic Coffee 1x,Beverages,344,7,2.641,3.964,2028-05-29,Normal
1102,Organic Cola 3x,Beverages,95,18,4.252,6.055,2028-01-08,Normal
1103,Diet Cookies 2x,Snacks,49,46,6.198,8.173,2028-05-08,Low Stock
1104,Gluten-Free Detergent 4x,Cleaning,465,14,7.941,9.543,2027-12-29,Normal
1105,Organic Milk 2x,Dairy,184,23,9.859,17.707,2026-09-18,Normal
1106,Premium Butter 5x,Dairy,13,28,2.786,4.244,2026-08-30,Low Stock
1107,Gluten-Free Sausages 1x,Meat,381,30,2.831,4.773,2026-09-04,Normal
1108,Premium Nuts 4x,Snacks,18,20,2.109,3.464,2027-02-09,Low Stock
1109,Fresh Detergent 2x,Cleaning,171,23,7.114,8.769,2026-12-06,Normal
1110,Gluten-Free Dish Soap 2x,Cleaning,500,39,9.511,13.076,2027-10-05,Normal
1111,Diet Dish Soap 1x,Cleaning,80,3,7.621,12.938,2028-05-03,Normal
1112,Gluten-Free Shampoo 3x,Personal Care,493,44,0.883,1.520,2027-03-12,Normal
1113,Premium Sausages 3x,Meat,15,18,4.480,7.355,2026-09-14,Low Stock
1114,Fresh Apples 4x,Produce,28,16,3.754,5.032,2026-09-12,Low Stock
1115,Imported Tomatoes 5x,Produce,161,4,9.892,15.301,2026-09-05,Normal
1116,Fresh Nuts 4x,Snacks,248,15,6.962,10.622,2028-01-30,Normal
