اسم العميل,قيمة الفاتورة,تاريخ الفاتورة,مدة الآجل,أيام التأخير
مؤسسة النور للتجارة,1450,2025-01-05,30,0
شركة الريان للمقاولات,420,2025-01-08,30,0
مطعم الساحل,260,2025-01-12,30,0
مخبز الفجر,300,2025-01-16,30,0
كافيه الموج,300,2025-01-16,30,0
صيدلية الأمل,300,2025-01-16,30,0
ورشة الخليج,300,2025-01-16,30,0
مؤسسة النور للتجارة,1470,2025-02-04,30,0
شركة الريان للمقاولات,420,2025-02-07,30,4
مخبز الفجر,315,2025-02-25,30,2
كافيه الموج,315,2025-02-25,30,2
صيدلية الأمل,315,2025-02-25,30,2
ورشة الخليج,315,2025-02-25,30,2
مطعم الساحل,260,2025-02-26,30,0
مؤسسة النور للتجارة,1490,2025-03-06,30,0
شركة الريان للمقاولات,420,2025-03-09,30,9
مؤسسة النور للتجارة,1510,2025-04-05,30,0
مخبز الفجر,330,2025-04-06,30,0
كافيه الموج,330,2025-04-06,30,0
صيدلية الأمل,330,2025-04-06,30,0
ورشة الخليج,330,2025-04-06,30,0
شركة الريان للمقاولات,420,2025-04-08,30,18
مطعم الساحل,260,2025-04-12,90,0
مؤسسة النور للتجارة,1530,2025-05-05,30,0
شركة الريان للمقاولات,420,2025-05-08,30,27
مخبز الفجر,345,2025-05-16,30,1
كافيه الموج,345,2025-05-16,30,1
صيدلية الأمل,345,2025-05-16,30,1
ورشة الخليج,345,2025-05-16,30,1
مؤسسة النور للتجارة,1550,2025-06-04,30,0
شركة الريان للمقاولات,420,2025-06-07,30,41
مخبز الفجر,360,2025-06-25,30,0
كافيه الموج,360,2025-06-25,30,0
صيدلية الأمل,360,2025-06-25,30,0
ورشة الخليج,360,2025-06-25,30,0
مؤسسة النور للتجارة,1570,2025-07-04,30,0
متجر الأفق الجديد,180,2025-08-02,30,0
مؤسسة النور للتجارة,1590,2025-08-03,30,0
متجر الأفق الجديد,2400,2025-08-28,30,0
مؤسسة النور للتجارة,1610,2025-09-02,30,0
مؤسسة النور للتجارة,1630,2025-10-02,30,0
